"","log2FoldChange","padj"
"TAF11L11",2.90047108981202,1.49434222068956e-12
"ENSG00000289298",1.15460871377029,2.54844819240483e-06
"ENSG00000291200",1.26519042256781,5.66256011436404e-07
"ENSG00000293164",-1.47411853756439,1.6830794297843e-51
"GUCY1B2",-5.04354062410148,3.2396888188493e-28
"ENSG00000293676",-1.53803647892026,1.6219237990133e-25
"ENSG00000296430",1.34173162100471,5.41515820117463e-08
"ENSG00000296939",-1.19665555731644,8.23707228642725e-05
"ENSG00000298058",-3.95288802543036,5.58389601496586e-58
"ENSG00000298793",-2.31957917811463,1.67613474014308e-34
"ENSG00000299188",-7.26275043584377,3.83357513688042e-32
"ENSG00000305133",1.14521168269788,1.30667158726179e-05
"ENSG00000306949",-3.41214692332117,6.32475232608523e-18
