"","V1","V2"
"410","ENSG00000021645.20","NRXN3"
"411","ENSG00000021762.20","OSBPL5"
"412","ENSG00000021776.11","AQR"
"413","ENSG00000021826.18","CPS1"
"414","ENSG00000021852.14","C8B"
"415","ENSG00000022267.19","FHL1"
"416","ENSG00000022277.13","RTF2"
"417","ENSG00000022355.18","GABRA1"
"418","ENSG00000022556.16","NLRP2"
"419","ENSG00000022567.10","SLC45A4"
"420","ENSG00000022840.17","RNF10"
"421","ENSG00000022976.16","ZNF839"
"422","ENSG00000023041.12","ZDHHC6"
"423","ENSG00000023171.20","GRAMD1B"
"424","ENSG00000023191.17","RNH1"
"425","ENSG00000023228.15","NDUFS1"
"426","ENSG00000023287.13","RB1CC1"
"427","ENSG00000023318.9","ERP44"
"428","ENSG00000023330.15","ALAS1"
"429","ENSG00000023445.17","BIRC3"
"430","ENSG00000023516.9","AKAP11"
"431","ENSG00000023572.10","GLRX2"
"432","ENSG00000023608.5","SNAPC1"
"433","ENSG00000023697.13","DERA"
"434","ENSG00000023734.11","STRAP"
"435","ENSG00000023839.12","ABCC2"
"436","ENSG00000023892.12","DEF6"
"437","ENSG00000023902.14","PLEKHO1"
"438","ENSG00000023909.10","GCLM"
"439","ENSG00000024048.11","UBR2"
"440","ENSG00000024422.12","EHD2"
"441","ENSG00000024526.17","DEPDC1"
"442","ENSG00000024862.18","CCDC28A"
"443","ENSG00000025039.15","RRAGD"
"444","ENSG00000025156.13","HSF2"
"445","ENSG00000025293.17","PHF20"
"446","ENSG00000025423.11","HSD17B6"
"447","ENSG00000025434.19","NR1H3"
"448","ENSG00000025708.14","TYMP"
"449","ENSG00000025770.19","NCAPH2"
"450","ENSG00000025772.8","TOMM34"
"451","ENSG00000025796.14","SEC63"
"452","ENSG00000025800.14","KPNA6"
"453","ENSG00000026025.16","VIM"
"454","ENSG00000026036.23","RTEL1-TNFRSF6B"
"455","ENSG00000026103.25","FAS"
"456","ENSG00000026297.17","RNASET2"
"457","ENSG00000026508.21","CD44"
"458","ENSG00000026559.14","KCNG1"
"459","ENSG00000026652.15","AGPAT4"
"460","ENSG00000026751.17","SLAMF7"
"461","ENSG00000026950.17","BTN3A1"
"462","ENSG00000027001.10","MIPEP"
"463","ENSG00000027075.18","PRKCH"
"464","ENSG00000027644.5","INSRR"
"465","ENSG00000027697.16","IFNGR1"
"466","ENSG00000027847.14","B4GALT7"
"467","ENSG00000027869.13","SH2D2A"
"468","ENSG00000028116.18","VRK2"
"469","ENSG00000028137.19","TNFRSF1B"
"470","ENSG00000028203.19","VEZT"
"471","ENSG00000028277.22","POU2F2"
"472","ENSG00000028310.18","BRD9"
"473","ENSG00000028528.15","SNX1"
"474","ENSG00000028839.10","TBPL1"
"475","ENSG00000029153.15","BMAL2"
"476","ENSG00000029363.17","BCLAF1"
"477","ENSG00000029364.12","SLC39A9"
"478","ENSG00000029534.22","ANK1"
"479","ENSG00000029559.7","IBSP"
"480","ENSG00000029639.11","TFB1M"
"481","ENSG00000029725.17","RABEP1"
"482","ENSG00000029993.15","HMGB3"
"483","ENSG00000030066.14","NUP160"
"484","ENSG00000030110.14","BAK1"
"485","ENSG00000030304.15","MUSK"
"486","ENSG00000030419.17","IKZF2"
"487","ENSG00000030582.19","GRN"
"488","ENSG00000031003.11","FAM13B"
"489","ENSG00000031081.11","ARHGAP31"
"490","ENSG00000031691.7","CENPQ"
"491","ENSG00000031698.13","SARS1"
"492","ENSG00000031823.14","RANBP3"
"493","ENSG00000032219.19","ARID4A"
"494","ENSG00000032389.13","EIPR1"
"495","ENSG00000032444.17","PNPLA6"
"496","ENSG00000032742.18","IFT88"
"497","ENSG00000033011.14","ALG1"
"498","ENSG00000033030.16","ZCCHC8"
"499","ENSG00000033050.9","ABCF2"
"500","ENSG00000033100.17","CHPF2"
"501","ENSG00000033122.21","LRRC7"
"502","ENSG00000033170.17","FUT8"
"503","ENSG00000033178.13","UBA6"
"504","ENSG00000033327.13","GAB2"
"505","ENSG00000033627.18","ATP6V0A1"
"506","ENSG00000033800.14","PIAS1"
"507","ENSG00000033867.18","SLC4A7"
"508","ENSG00000034053.15","APBA2"
"509","ENSG00000034152.20","MAP2K3"
"510","ENSG00000034239.11","CLXN"
"511","ENSG00000034510.6","TMSB10"
"512","ENSG00000034533.12","ASTE1"
"513","ENSG00000034677.13","RNF19A"
