"","log2FoldChange","padj"
"ZIC3",-1.20524559556292,2.7414560581991e-09
"HYDIN",1.10898988078669,4.47910057197998e-08
"TSC22D3",-1.43795231883929,2.77428231436365e-109
"MX1",-1.28420408644278,3.20430666646676e-12
"C2CD2",-7.18263286473414,2.93703292946155e-73
"CLSTN2",1.7116907209912,2.95702056143967e-87
"PKD1L1",1.49057471708601,6.08531259354499e-11
"STC1",1.4352392942097,5.84576392040258e-26
"CSRP1",7.17617520716841,6.05200914952453e-260
"IRX6",-1.34028892047257,9.64604470067468e-27
"ZNF208",3.74373769193276,3.85803892996212e-39
"LY6K",-1.68898057615346,2.52863237650892e-10
"RBP7",1.37109783705324,1.92634121438615e-29
"ALPL",2.57843508209945,5.89709469006566e-46
"OXER1",-1.19229987893633,2.38930461048557e-05
"HAAO",-1.22051311210042,7.68639934800391e-12
"VSNL1",1.39061499959398,1.55914045346011e-48
"SPATA18",-1.29678514297865,4.56330459350607e-55
"IGFN1",2.09056301376499,9.93599602294921e-26
"CHCHD4",2.416368733081,3.22115558680416e-12
"SMIM43",-1.35006456433361,7.06045834626518e-10
"TERT",-1.06127627776789,1.54039242112574e-13
"FABP5",1.7314800247333,2.47806155156254e-161
"TMEM184A",2.47740457655574,7.26203330751092e-18
"CYBB",1.49123688558191,2.01514120782694e-50
"PTCHD1",2.52639274706784,8.70038068391221e-97
"PCDH19",2.6773345105866,1.32867489607962e-120
"SLITRK5",-1.29427625003224,2.3743143352152e-06
"GPR101",1.40530591732627,1.21541732116788e-19
"CLDN2",1.02521635011041,0.000165536205350967
"PHYHIPL",1.4147678431007,1.43670739403834e-16
"AMER2",1.34342357398202,3.38276370244153e-10
"FAAH2",1.53751252794246,3.94936572818671e-46
"SLC18A2",1.38053939898768,3.13227543663154e-14
"TMEM100",1.57820664637088,1.17229371063515e-16
"STAT6",1.05489864887152,1.80561627584029e-09
"PLIN4",1.20567137457262,1.42786844251039e-25
"TXNDC2",1.13293818691766,4.74739996335802e-07
"TNXB",1.1159980919733,2.20451792354462e-31
"COL3A1",2.11835087976245,4.87885006573451e-22
"CXXC4",-1.11639867308942,6.55869046531684e-32
