"","log2FoldChange","padj"
"SMIM45",-1.04667392669934,7.11563332143327e-17
"C1RL.AS1",2.06765425284044,3.25547379194425e-16
"EWSAT1",1.9288216777861,3.99375795313865e-14
"GSTM2",-2.57111401135547,3.30473923421645e-31
"ZNF727",3.13840333214202,3.56972013784882e-28
"TSTD1",1.93107492688678,3.71844901514908e-78
"ZNF433.AS1",1.65770066468705,1.02047071015339e-85
"RFPL4A",1.13825659465141,7.09740586994573e-08
"ICMT.DT",-1.01487432109404,6.93365061161925e-08
"ERVMER34.1",3.40537639062597,9.68815143807734e-18
"LINC02936",-1.09527196631866,2.68225076923511e-09
"MIR34AHG",-1.32369127746717,3.94085603396937e-27
"ENSG00000228835",1.01380534709549,4.16200140787824e-07
"LINC02641",1.51846374750153,4.06875442051452e-07
"WASIR2",1.40076119986639,1.41522597136337e-28
"LINC01694",1.36153393839604,8.16893325541564e-15
"LNCTAM34A",-1.17286292659494,3.53142298225689e-16
"FABP5P7",1.42479853050469,7.85361019769142e-07
"ENSG00000235726",-1.73261051272231,3.97690515667356e-15
"CCDST",1.48177875805416,6.77976944236738e-59
"MTND2P40",1.0055190638271,1.49812373809057e-05
"GAPDHP21",-1.27815313041317,7.62779613565324e-07
"ZNF737",1.48504982054659,4.41359868204503e-74
"UNC5B.AS1",-1.03187290881568,9.4936783227565e-05
"LINC00649",-1.2600022931751,2.35400651182101e-20
"AMY2B",1.42111643807931,8.06649688303315e-10
"PSMB9",-1.29919847380394,1.6762804128553e-08
"NECTIN3.AS1",-1.41324431263918,5.26421515294235e-06
"SCARF2",-1.05805804089672,4.08817004101605e-114
"LINC02709",-1.07503177127637,1.19661923591868e-09
"USP51",-1.29902648604279,2.27057859276562e-20
"PCP4L1",1.42271495928851,3.69144293030342e-10
"ENSG00000248837",4.63612168351595,1.46252287200367e-27
"CASC9",-1.74123730370546,2.32310642966202e-63
"LINC01234",1.25037394669337,4.95487348358034e-12
"PCDHA10",3.33466716082364,5.56077571800994e-122
"ENSG00000250874",-1.81258946054766,6.70188977224035e-18
"LINC02506",-1.6099313056117,5.04121934504924e-110
"LINC02615",-1.0878566467889,1.75633552739899e-08
"ENSG00000253227",-1.06399521921509,7.73256511091213e-08
"PCDHGA6",1.23826024480306,1.52724439963196e-12
"LNCOC1",-1.0108675987014,1.36983194108205e-10
"PCDHGA11",1.11954380546881,1.19445809439987e-31
"PCDHGB2",1.29246071111258,1.29493924252189e-06
"ENSG00000254165",1.00831951499801,1.03359229315334e-05
"CTSO",-1.05493890271862,3.11151363393841e-18
"LINC01152",1.03646007790185,0.000119636043736712
"ZNF486",1.07286394158334,2.5426073126091e-38
"ZNF578",7.62064833622931,3.73202468847044e-35
"TGFBR3L",1.84146761810989,1.65271708408799e-39
"NSFP1",-1.04271281459764,1.63091788671528e-10
"ENSG00000260725",1.3928173526836,3.27307231787587e-16
"SMIM47",1.30887434693954,3.5127667120438e-07
"ENSG00000261754",-1.32599467964542,1.5807104981224e-30
"PCDHGA4",1.62322938419429,1.80752657673933e-10
"LINC01915",1.26669659964438,2.06535598461813e-10
"ENSG00000266680",-1.00011557673804,1.67165778795102e-14
"ENSG00000266976",-1.06272332962985,2.30138237202904e-12
"CIRBP.AS1",-2.21262341748319,2.24201954007699e-276
"ENSG00000267980",1.14079834292821,1.85560649965703e-06
"SAXO3",1.19157380655127,8.24188656196516e-08
"ENSG00000269288",1.08961317166354,2.96146223751638e-21
"MIR222HG",1.87926737979508,3.64750888931643e-62
"ENSG00000270659",-1.10802178163671,1.40688287979077e-06
"ENSG00000272293",1.0261675237017,7.91992640517325e-07
"ENSG00000274667",1.1811410963639,4.29823740487743e-05
"FCGBP",-1.0695845316408,3.30783680418659e-15
"ENSG00000277879",1.39535412201783,1.55131199672955e-29
"ENSG00000277954",1.43133580205258,8.90805323382068e-10
"ENSG00000278058",2.01210991098313,3.18371075216594e-34
"ZNF426.DT",1.33394415318872,4.62226300294751e-09
"ENSG00000280294",1.63160912399267,1.58640594727392e-11
"ENSG00000283674",1.0327753663401,7.95471447833752e-50
"TAF11L11",-4.28734035953225,4.27737407903933e-29
"ENSG00000285216",-1.19078153811069,1.65830946435955e-06
"ENSG00000286339",-2.82138238175906,1.73137682003865e-36
"ENSG00000286507",1.06137959160221,2.57749220476737e-08
"ENSG00000286531",1.27729307743034,2.96381586320576e-13
"ENSG00000286878",7.13325721302003,1.48475994509723e-30
"ENSG00000287055",-1.71592038225574,4.39576364485114e-11
"LINC02993",1.05457732492887,4.31681239247944e-05
"ENSG00000287692",1.5032699194495,4.65919786872915e-07
"ENSG00000289628",1.30612318319322,6.10343769754324e-07
"ZNF876P",1.04900981525152,0.000162713624957177
"ENSG00000290829",1.24910531971704,7.89930091386315e-19
"LRRC37A11P",-1.4507422561736,8.76616378325533e-14
"ENSG00000291065",-4.20813307607973,4.70592104285345e-193
"ENSG00000291200",-2.17171127041925,1.92443106401984e-21
"RDM1P5",-1.07762054900554,9.92189063976663e-05
"ENSG00000296430",-1.85512109585319,1.07518792504373e-15
"ENSG00000297147",-1.06053301197902,1.21318633250556e-07
"ENSG00000297413",-1.09373123296106,7.43247342852364e-14
"ENSG00000298543",1.12815862354946,0.000186408241163643
"ENSG00000299052",-1.23122597612251,2.93890121429158e-06
"ENSG00000299322",1.24731625658851,3.19467163564552e-12
"ENSG00000299888",1.5526251840357,1.23943855079759e-09
"ENSG00000300154",1.04055640563038,0.000239671609274335
"ENSG00000302873",1.0154356851983,5.43589117582247e-06
"ENSG00000303522",1.07418744675584,9.72855475906608e-05
"ENSG00000303619",1.05649096659562,0.00036287360990217
"ENSG00000305133",-1.12096564554101,1.36675032033984e-05
"ENSG00000308298",-1.06849210907968,0.000341447252262151
"ENSG00000308809",1.15429705603899,1.99394565818785e-09
"ENSG00000308905",-1.07786115929646,5.23343779687767e-13
