"","ID","log2FoldChange","AveExpr","t","P.Value","padj","B"
"TOM1","TOM1",-0.311624640344411,4.33544823433725,-3.11864064314655,0.00297178524961071,0.772610857454487,-1.76527163710855
"SCD","SCD",0.109269144835261,8.8795424989601,3.40021368418613,0.00130747426765312,0.65089227825599,-1.77037619576745
"SLC6A9","SLC6A9",-0.267414984666304,4.78566137444808,-3.13717692618087,0.0028187063955689,0.772610857454487,-1.81200127710317
"SRP54","SRP54",0.178531806554178,6.61706627113468,3.24414535351743,0.00207056218289709,0.729791947413616,-1.8293403706994
"IGSF10","IGSF10",0.77834253583977,1.35134615585703,3.17763195922514,0.00250997277532464,0.729791947413616,-1.85484350446046
"VRK2","VRK2",0.343044414564512,3.80465810231815,3.05496568740829,0.00355916622152898,0.772610857454487,-1.87211872871455
"TACO1","TACO1",-0.367636456885626,3.85405816267135,-3.04777692598284,0.00363191758769836,0.772610857454487,-1.88912365669652
"ENSG00000226180","ENSG00000226180",-0.977422567066995,1.20891481519586,-3.33073210484958,0.00160664979485619,0.690056086890735,-1.88969698348254
"KCTD15","KCTD15",-0.149580378643178,7.08334888949224,-3.25080016867361,0.00203083820304034,0.729791947413616,-1.90578866929683
"PCGF1","PCGF1",0.406662424968703,3.48621417433027,3.02054314810879,0.00392033925374937,0.772610857454487,-1.92887345593108
"TMSB4X","TMSB4X",-0.370437882868402,3.5066329496289,-3.01949678459053,0.00393183686709201,0.772610857454487,-1.93321907815657
"ENSG00000308813","ENSG00000308813",-1.45574336891286,0.0480215916486365,-3.82001854048387,0.000360301888260501,0.453932338956463,-1.94609131194444
"SH3BGRL3","SH3BGRL3",0.292740264606699,4.44068891892196,3.04214280537752,0.00368990604244994,0.772610857454487,-1.97917283831551
"AP1G2-AS1","AP1G2-AS1",0.499900119912656,2.80500641255072,2.98791796075195,0.0042940202012412,0.772610857454487,-2.00334876388656
"CD81","CD81",-0.149327041015693,7.42270475269998,-3.2265249497746,0.00217931348905794,0.729791947413616,-2.00493384733921
"RNASEH1","RNASEH1",-0.197324411851287,5.7610880895979,-3.1163283822597,0.00299141919309812,0.772610857454487,-2.00826321615793
"CMTM7","CMTM7",0.281317753370808,4.27542331426193,3.01744361089171,0.00395448911836485,0.772610857454487,-2.02217669543978
"CHAC1","CHAC1",-0.444066266343414,2.76282469591119,-2.96941112429336,0.00452050997257637,0.772610857454487,-2.04909230382703
"STYXL1","STYXL1",-0.333510759357384,3.76914774199571,-2.97930468954249,0.00439808080759169,0.772610857454487,-2.05938331933522
"BIVM","BIVM",-0.236311636888964,4.78705093644939,-3.03149897142404,0.00380182744153167,0.772610857454487,-2.08672205797323
"ENSG00000258365","ENSG00000258365",0.921455818668279,1.03724022087485,3.16808619702055,0.00257981259472435,0.738686339622738,-2.14420088077677
"MAP3K4-AS1","MAP3K4-AS1",-0.383740875299865,3.32938009421274,-2.92285935841437,0.00514038573021587,0.772610857454487,-2.14624059563095
"PHGDH","PHGDH",-0.131565843878798,8.24011688537023,-3.22710198657766,0.00217566830233956,0.729791947413616,-2.148283504318
"SYDE1","SYDE1",-0.227566468402139,5.31492302244633,-3.02899299584159,0.00382863591428666,0.772610857454487,-2.15612050153473
"SOCS3","SOCS3",1.19891120530256,0.293230606769958,3.38844516402413,0.00135411954678545,0.65089227825599,-2.16004346728055
"FOXD4","FOXD4",0.427824183434091,2.95182252514538,2.90907269565788,0.00533861530377778,0.772610857454487,-2.17744862890312
"HS6ST3","HS6ST3",0.280180423030494,4.60009078495162,2.97134947697348,0.00449627610163592,0.772610857454487,-2.18989510782415
"ATF4","ATF4",-0.111511522818518,9.26193741619133,-3.26733252521719,0.00193524491681051,0.729791947413616,-2.20883291831504
"CHGB","CHGB",-0.673145260567791,1.68723391782179,-3.0098761275222,0.00403903698006919,0.772610857454487,-2.2098854128555
"TLE2","TLE2",0.481497338935385,2.4205471571252,2.89583139781109,0.00553567082384925,0.772610857454487,-2.21867867431535
"ZNF721","ZNF721",0.220095965210625,5.74021885371442,3.02996942424789,0.00381816931020043,0.772610857454487,-2.22732161703702
"AXIN2","AXIN2",0.346245591687149,3.37834860734258,2.89240677713471,0.00558772398059201,0.772610857454487,-2.23418776186395
"GTF2H3","GTF2H3",-0.168105479151441,6.71195603424786,-3.09217665061717,0.00320390501200846,0.772610857454487,-2.24452394954385
"LAGE3","LAGE3",-0.267109882937538,5.13558924165789,-2.97986329230269,0.00439126139128744,0.772610857454487,-2.24627864157454
"LRRC75A","LRRC75A",-0.56558945952441,2.14783440303018,-2.89845606394129,0.00549608194171042,0.772610857454487,-2.2629565907167
"RPL39P16","RPL39P16",0.997151386607097,0.751246758375601,3.1897036909726,0.00242419942498241,0.729791947413616,-2.27013378583011
"BANF1","BANF1",-0.152545055918138,6.93956335339206,-3.09466506669881,0.00318137492559007,0.772610857454487,-2.27849754779155
"CDK4","CDK4",-0.146078145442508,7.26959507300265,-3.11228257400784,0.0030260663449071,0.772610857454487,-2.28386925331163
"TXNIP","TXNIP",-0.298660561731725,3.84565012294885,-2.8872796892051,0.00566650418184018,0.772610857454487,-2.28786004580238
"PRR7","PRR7",-0.346169278902598,3.90676722214601,-2.8612862123979,0.00608200949707166,0.772610857454487,-2.32343885117418
"AMY2B","AMY2B",1.32827762295928,0.0448842044731873,3.44008443153763,0.00116053050287407,0.626620155523264,-2.32715885387347
"SPATA7","SPATA7",0.502350673427429,2.19832337258943,2.85231276051535,0.00623188884914223,0.772610857454487,-2.33008407689521
"PTPRM","PTPRM",0.275135587532789,4.29973028078115,2.88693370471515,0.00567185736480227,0.772610857454487,-2.34269393779333
"NSRP1","NSRP1",0.193172489496292,6.09228962985265,3.00408979602755,0.00410482088624878,0.772610857454487,-2.35112792125214
"SHISA8","SHISA8",-0.384308643618209,3.36615480330667,-2.83131612495872,0.0065960545579918,0.772610857454487,-2.36275358900596
"TRNT1","TRNT1",0.215750917695008,5.60532038862709,2.96971637409034,0.00451668558647369,0.772610857454487,-2.3666670981874
"TCTN1","TCTN1",-0.22618261088708,4.74633300936201,-2.90054980355256,0.00546468996800349,0.772610857454487,-2.38682569710294
"UCP3","UCP3",1.49514746263168,-0.203760120312692,3.5293725029368,0.000886357570420491,0.576599460711315,-2.39086053291001
"RABEP2","RABEP2",-0.34120099586054,3.85206043759546,-2.82685851168871,0.00667585943265553,0.772610857454487,-2.40574480991268
"SNPH","SNPH",-0.433330828089351,2.87172969121028,-2.79783279917986,0.00721773941168401,0.777434602266336,-2.41463688096191
"SH3BP5L","SH3BP5L",0.290258103603645,3.76196794280703,2.81921204847012,0.0068148379310452,0.772610857454487,-2.42189155758391
"CRLS1","CRLS1",-0.516968025580204,2.98735164518428,-2.79356632783452,0.00730073133070506,0.779487122529177,-2.42345005771101
"SP2","SP2",0.22695512378135,5.4253378094626,2.92651661199181,0.00508896123200452,0.772610857454487,-2.42450310747035
"LINC01426","LINC01426",-2.25183908746916,-1.28099014157929,-4.03346164657394,0.000182249664588055,0.382683795709452,-2.42607870418286
"FAM13B","FAM13B",0.198794438482924,5.81439179899145,2.95142720547395,0.00475122750257779,0.772610857454487,-2.42670650263712
"CBFB","CBFB",-0.164008074278737,6.79673836226502,-3.02149630852513,0.00390989312848167,0.772610857454487,-2.43192463632874
"MEX3D","MEX3D",-0.231798041813197,4.78436322466527,-2.87756091707532,0.00581867446473993,0.772610857454487,-2.44535319377022
"TMEM182","TMEM182",-0.640640595445238,1.74732282960325,-2.82729683619067,0.00666797266669683,0.772610857454487,-2.4665491207391
"NUDT3","NUDT3",-0.248575282039601,4.97275685283247,-2.88011261890912,0.00577835863932629,0.772610857454487,-2.47358501027678
"LINC01521","LINC01521",-0.390992972844177,3.16736272436704,-2.7713347103714,0.00774761968409749,0.800079326721718,-2.48043088046461
"SAT1","SAT1",0.130233716004121,8.13702978761389,3.0689164080691,0.00342185948507799,0.772610857454487,-2.51675943331386
"ENSG00000289155","ENSG00000289155",0.993095181230599,0.480041474593498,3.08307717136053,0.00328757186218111,0.772610857454487,-2.53074609761442
"METTL6","METTL6",-0.198601203662671,5.25252007369353,-2.87561366634081,0.00584961560893158,0.772610857454487,-2.53154216962541
"ACE","ACE",0.727344167640526,1.47906307804974,2.82217824071495,0.00676061117970417,0.772610857454487,-2.53267248777027
"EMBP1","EMBP1",0.851921879468529,0.854283471794288,2.9859202203215,0.00431794907906534,0.772610857454487,-2.53973843857425
"ODC1","ODC1",-0.121552948744242,8.36761070469076,-3.07643759247388,0.00334990844531328,0.772610857454487,-2.54418754755862
"EHBP1L1","EHBP1L1",0.951090010590553,0.790742030153299,2.97170039928089,0.00449190173518977,0.772610857454487,-2.54608148034907
"NKX2-4","NKX2-4",-0.240872595875563,4.60426281652752,-2.81642103193265,0.0068662292135625,0.772610857454487,-2.54609397257383
"KHDC4","KHDC4",0.147638881754505,7.2170015721944,3.01295979943104,0.00400438274428776,0.772610857454487,-2.55466011910503
"ENSG00000275778","ENSG00000275778",0.874532968970126,0.729340506917919,2.99878515970838,0.00416600629722125,0.772610857454487,-2.56047500256963
"TAGAP-AS1","TAGAP-AS1",-0.905641939210746,0.580110235355261,-3.01399847666493,0.00399277279160143,0.772610857454487,-2.56108430920686
"DCUN1D2","DCUN1D2",-0.210128010806705,5.15701230913428,-2.8521650479971,0.00623438440877312,0.772610857454487,-2.56392464800984
"SULF1","SULF1",-0.571326708619017,1.86408242388207,-2.76143548055234,0.00795461438647704,0.803535560170116,-2.57346827976319
"UBP1","UBP1",0.150988911176032,6.74116194497101,2.96412338067973,0.00458723951097168,0.772610857454487,-2.57888611470544
"TREX2","TREX2",0.593809460756249,1.88491806700474,2.75959359933245,0.00799368638543665,0.803535560170116,-2.58066494910079
"LONP1","LONP1",-0.159145223387823,7.53621911655801,-3.02043320169432,0.0039215458838262,0.772610857454487,-2.58307685680754
"PPP2CA","PPP2CA",-0.189205187263492,6.0259402696506,-2.90098198652438,0.00545823091149411,0.772610857454487,-2.60125124194621
"RASD1","RASD1",1.46037941091338,-0.131018188506626,3.45986774255705,0.00109358475682053,0.626620155523264,-2.60172579981382
"RPRML","RPRML",-0.783193145768089,1.14764413574264,-2.83105167430482,0.00660076428875103,0.772610857454487,-2.60511022834442
"ENSG00000261474","ENSG00000261474",-0.725040842794181,1.20539690065282,-2.82112811522379,0.00677976335937164,0.772610857454487,-2.6074759697149
"ARL4D","ARL4D",0.453203226325495,2.46645919148926,2.70157614842777,0.00931869813945978,0.851476199411578,-2.61842162596178
"KNSTRN","KNSTRN",0.178494337181046,5.7495687738448,2.8726884226399,0.00589638369773591,0.772610857454487,-2.62725748306789
